occurrence_no,record_type,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,paleomodel,paleolng,paleolat,geoplate,formation,stratgroup,member,stratscale,zone,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,environment,tectonic_setting,assembl_comps,pres_mode,preservation_quality,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,taxon_environment,environment_basis,motility,life_habit,diet
785868,occ,84717,Gecatogomphius kavejevi,species,134793,,Gecatogomphius kavejevi,,species,134793,Ufimian,Late Kazanian,279.5,268,Ivakhnenko,1990,28378,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,Gecatogomphius,1,individuals,51.400002,55.716667,PIN 4310/1,"Berezovye Polyanki, PIN 4310",,,RU,Tatarstan,Mamadysh,based on nearby landmark,minutes,outcrop,gp_mid,44.62,26.57,302,Belebei,,,group of beds,Parabradysaurus silantjevi,,sandstone,,lithified,conglomeratic,Y,,,fluvial indet.,foreland basin,macrofossils,body,,,taxonomic,,PIN,,,,,,terrestrial,,actively mobile,ground dwelling,"insectivore, herbivore"
785869,occ,84717,Melosaurus sp.,genus,37063,,Melosaurus,,genus,37063,Ufimian,Late Kazanian,279.5,268,Ivakhnenko,1990,28378,Chordata,Osteichthyes,Temnospondyli,Archegosauridae,Melosaurus,,,51.400002,55.716667,,"Berezovye Polyanki, PIN 4310",,,RU,Tatarstan,Mamadysh,based on nearby landmark,minutes,outcrop,gp_mid,44.62,26.57,302,Belebei,,,group of beds,Parabradysaurus silantjevi,,sandstone,,lithified,conglomeratic,Y,,,fluvial indet.,foreland basin,macrofossils,body,,,taxonomic,,PIN,,,,,,"brackish,freshwater,terrestrial",,actively mobile,amphibious,carnivore
785871,occ,84718,Naosaurus n. sp. uralensis,species,134990,nomen dubium,Captorhinidae,,family,37495,Ufimian,,279.5,272.5,Ivakhnenko,1990,28378,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,,1,individuals,57.648335,58.677223,ZNIGR 348/1 (type),Us'va,,Usva,RU,Perm,Gremyatchinsk,based on nearby landmark,seconds,outcrop,gp_mid,43.81,30.12,302,,,,group of beds,Clamorosaurus borealis,,sandstone,,,,Y,,,terrestrial indet.,foreland basin,macrofossils,body,,,taxonomic,,,,,,,,terrestrial,,actively mobile,ground dwelling,"insectivore, herbivore"
785872,occ,84719,Riabininus uralensis,species,134992,nomen dubium,Captorhinidae,,family,37495,Ufimian,,279.5,272.5,Ivakhnenko,1990,28378,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,,3,specimens,60.049999,66.033333,"PIN 570/12, 38, 39; in Ivakhnenko (2008) PIN 570/51 is given instead of PIN 570/12","Inta city, PIN 570, PIN 3950",,,RU,Komi,Inta,stated in text,minutes,outcrop,gp_mid,38.06,35.78,302,Inta,,,group of beds,Clamorosaurus borealis,"""Carbonaceous shales and channel sandstone"" (Olson, 1957)","""shale""",,,carbonaceous,,sandstone,,terrestrial indet.,foreland basin,macrofossils,body,,,taxonomic,,PIN,,,,,,terrestrial,,actively mobile,ground dwelling,"insectivore, herbivore"
786315,occ,84824,n. gen. Moradisaurus n. sp. grandis,species,134810,,Moradisaurus grandis,,species,134810,Changhsingian,,254.17,252.17,Taquet,1969,28340,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,Moradisaurus,3,individuals,7.533333,18.510555,"MNHN MRD1 (type); MNN MOR78, 79",Tchimozenogue Area,,Moradi Fauna,NE,Agadez,Arlit,estimated from map,seconds,outcrop,gp_mid,13.23,-3.88,714,Moradi,Izégouandane,,group of beds,,"""Les argilo-grès de Moradi [...] forment un ensemble « à dominance d’argiles et de marnes de couleur brun rouge avec des niveaux de grès feldspathiques, de grès et de miches à ciment calciteux » (Paquet 1969). Ces argiles ont l’aspect d’argilites brunes et l’analyse microscopique faite par Paquet a montré qu’ils étaient constitués d’un fond isotrope d’analcime fortement imprégnée d’oxydes de fer et englobant de nombreux grains détritiques, des phyllites et de la dolomite et également des fragments et des échardes de verre volcanique."" (Riqclès & Taquet, 1982).\r\n""The Moradi Formation is characterized by thick, friable, dark reddish-brown mudrocks, interspersed with beds of an indurated, matrix-supported conglomerate.\r\nThe specimens were found in poorly-bedded mudrock directly beneath the ledgeforming conglomerate."" (O'Keefe et al., 2005)",claystone,"hematitic,volcaniclastic,red or brown",,,Y,conglomerate,,"""floodplain""",cratonic basin,macrofossils,body,,,taxonomic,"surface (in situ),mechanical,acetic,field collection",MNHN,,,,"R. Desparmets, A. de Ricqles, P. Taquet, C. Guillemot, C. Sidor, A. Maga, O. Ide, and others","1966, 1967, 1969, 2003, 2006",terrestrial,,actively mobile,ground dwelling,"insectivore, herbivore"
786380,occ,84836,Procynosuchus cf. delaharpeae,species,323823,,Procynosuchus delaharpeae,,species,323823,Wuchiapingian,,259.9,254.17,Sues and Munk,1996,28485,Chordata,Osteichthyes,Cotylosauria,Procynosuchidae,Procynosuchus,1,individuals,8.880278,51.261944,PIM-N1225 (left dentary),Korbach Fissure,,"Fisseler quarry, Korbacher Spalte, Steinbruch Fisseler",DE,Hesse,Waldeck-Frankenberg,stated in text,seconds,outcrop,gp_mid,28.46,24.55,315,Werra,Zechstein,,group of beds,,"The fissure fill [...] opened in a tectonic lineament formed in oncoidal limestones of the Randkalk (A1Ca) of the lower Zechstein (Z1) [...] The fissure has been filled with dolomitic mudstone, which is reddish-purple in some areas but pale yellow in other places. The reddish deposits are fairly fine-grained whereas the yellowish deposits tend to be somewhat more coarse-grained and diagenetically indurated. [...] The yellowish mustone deposits are pockmarked by numerous solutional cavities, which are lined with calcite crystals. The mudstone fissure filling shows no obvious stratification. At a depth of about 5 m below the present-day top, we uncovered a layer of numerous angular blocks of limestone, which reach a diameter of up to 60 cm. These blocks, many of which are encrusted by iron an manganese oxides and are deeply reddened by subaerial weathering, represent the overlying Rosetten-Kalk. The Rosetten-Kalk was eroded away in the immediate vicinity of the quarry during the subsequent geological history of that area.""",mudstone,"fine,dolomitic,red",,,,mudstone,"medium,dolomitic,yellow",fissure fill,cratonic basin,macrofossils,"body,permineralized",variable,"""The vertebrate fossils comprise typically dissociated, fragmentary bones and teeth [...] Individual specimens frequently contain vivianite and thus appear dark blue when freshly exposed in the field. Many bones bear a thin coating of hematite. Preservation of individual bones is highly variable. Many are crushed and have been checkered by small-scale faulting, presumably due to early diagenetic compaction of the surrounding sediment as well as postdepositional faulting of the entire fissure-filling. The fragmentary state of preservation of most bones indicates postmortem disarticulation and transport before their introduction into the fissure.""",taxonomic,"chemical,mechanical,field collection",,all macrofossils,,,,,terrestrial,,actively mobile,,
786381,occ,84836,Dicynodontia indet.,order,38996,,Dicynodontia,,order,38996,Wuchiapingian,,259.9,254.17,Sues and Munk,1996,28485,Chordata,Osteichthyes,Dicynodontia,,,,,8.880278,51.261944,,Korbach Fissure,,"Fisseler quarry, Korbacher Spalte, Steinbruch Fisseler",DE,Hesse,Waldeck-Frankenberg,stated in text,seconds,outcrop,gp_mid,28.46,24.55,315,Werra,Zechstein,,group of beds,,"The fissure fill [...] opened in a tectonic lineament formed in oncoidal limestones of the Randkalk (A1Ca) of the lower Zechstein (Z1) [...] The fissure has been filled with dolomitic mudstone, which is reddish-purple in some areas but pale yellow in other places. The reddish deposits are fairly fine-grained whereas the yellowish deposits tend to be somewhat more coarse-grained and diagenetically indurated. [...] The yellowish mustone deposits are pockmarked by numerous solutional cavities, which are lined with calcite crystals. The mudstone fissure filling shows no obvious stratification. At a depth of about 5 m below the present-day top, we uncovered a layer of numerous angular blocks of limestone, which reach a diameter of up to 60 cm. These blocks, many of which are encrusted by iron an manganese oxides and are deeply reddened by subaerial weathering, represent the overlying Rosetten-Kalk. The Rosetten-Kalk was eroded away in the immediate vicinity of the quarry during the subsequent geological history of that area.""",mudstone,"fine,dolomitic,red",,,,mudstone,"medium,dolomitic,yellow",fissure fill,cratonic basin,macrofossils,"body,permineralized",variable,"""The vertebrate fossils comprise typically dissociated, fragmentary bones and teeth [...] Individual specimens frequently contain vivianite and thus appear dark blue when freshly exposed in the field. Many bones bear a thin coating of hematite. Preservation of individual bones is highly variable. Many are crushed and have been checkered by small-scale faulting, presumably due to early diagenetic compaction of the surrounding sediment as well as postdepositional faulting of the entire fissure-filling. The fragmentary state of preservation of most bones indicates postmortem disarticulation and transport before their introduction into the fissure.""",taxonomic,"chemical,mechanical,field collection",,all macrofossils,,,,,terrestrial,,actively mobile,,herbivore
786382,occ,84836,cf. Protorosaurus sp.,genus,38185,,Protorosaurus,,genus,38185,Wuchiapingian,,259.9,254.17,Sues and Munk,1996,28485,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Protorosaurus,,,8.880278,51.261944,,Korbach Fissure,,"Fisseler quarry, Korbacher Spalte, Steinbruch Fisseler",DE,Hesse,Waldeck-Frankenberg,stated in text,seconds,outcrop,gp_mid,28.46,24.55,315,Werra,Zechstein,,group of beds,,"The fissure fill [...] opened in a tectonic lineament formed in oncoidal limestones of the Randkalk (A1Ca) of the lower Zechstein (Z1) [...] The fissure has been filled with dolomitic mudstone, which is reddish-purple in some areas but pale yellow in other places. The reddish deposits are fairly fine-grained whereas the yellowish deposits tend to be somewhat more coarse-grained and diagenetically indurated. [...] The yellowish mustone deposits are pockmarked by numerous solutional cavities, which are lined with calcite crystals. The mudstone fissure filling shows no obvious stratification. At a depth of about 5 m below the present-day top, we uncovered a layer of numerous angular blocks of limestone, which reach a diameter of up to 60 cm. These blocks, many of which are encrusted by iron an manganese oxides and are deeply reddened by subaerial weathering, represent the overlying Rosetten-Kalk. The Rosetten-Kalk was eroded away in the immediate vicinity of the quarry during the subsequent geological history of that area.""",mudstone,"fine,dolomitic,red",,,,mudstone,"medium,dolomitic,yellow",fissure fill,cratonic basin,macrofossils,"body,permineralized",variable,"""The vertebrate fossils comprise typically dissociated, fragmentary bones and teeth [...] Individual specimens frequently contain vivianite and thus appear dark blue when freshly exposed in the field. Many bones bear a thin coating of hematite. Preservation of individual bones is highly variable. Many are crushed and have been checkered by small-scale faulting, presumably due to early diagenetic compaction of the surrounding sediment as well as postdepositional faulting of the entire fissure-filling. The fragmentary state of preservation of most bones indicates postmortem disarticulation and transport before their introduction into the fissure.""",taxonomic,"chemical,mechanical,field collection",,all macrofossils,,,,,terrestrial,,actively mobile,,
786383,occ,84836,cf. Parasaurus geinitzi,species,138976,,Parasaurus geinitzi,,species,138976,Wuchiapingian,,259.9,254.17,Sues and Munk,1996,28485,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Parasaurus,1,individuals,8.880278,51.261944,,Korbach Fissure,,"Fisseler quarry, Korbacher Spalte, Steinbruch Fisseler",DE,Hesse,Waldeck-Frankenberg,stated in text,seconds,outcrop,gp_mid,28.46,24.55,315,Werra,Zechstein,,group of beds,,"The fissure fill [...] opened in a tectonic lineament formed in oncoidal limestones of the Randkalk (A1Ca) of the lower Zechstein (Z1) [...] The fissure has been filled with dolomitic mudstone, which is reddish-purple in some areas but pale yellow in other places. The reddish deposits are fairly fine-grained whereas the yellowish deposits tend to be somewhat more coarse-grained and diagenetically indurated. [...] The yellowish mustone deposits are pockmarked by numerous solutional cavities, which are lined with calcite crystals. The mudstone fissure filling shows no obvious stratification. At a depth of about 5 m below the present-day top, we uncovered a layer of numerous angular blocks of limestone, which reach a diameter of up to 60 cm. These blocks, many of which are encrusted by iron an manganese oxides and are deeply reddened by subaerial weathering, represent the overlying Rosetten-Kalk. The Rosetten-Kalk was eroded away in the immediate vicinity of the quarry during the subsequent geological history of that area.""",mudstone,"fine,dolomitic,red",,,,mudstone,"medium,dolomitic,yellow",fissure fill,cratonic basin,macrofossils,"body,permineralized",variable,"""The vertebrate fossils comprise typically dissociated, fragmentary bones and teeth [...] Individual specimens frequently contain vivianite and thus appear dark blue when freshly exposed in the field. Many bones bear a thin coating of hematite. Preservation of individual bones is highly variable. Many are crushed and have been checkered by small-scale faulting, presumably due to early diagenetic compaction of the surrounding sediment as well as postdepositional faulting of the entire fissure-filling. The fragmentary state of preservation of most bones indicates postmortem disarticulation and transport before their introduction into the fissure.""",taxonomic,"chemical,mechanical,field collection",,all macrofossils,,,,,terrestrial,,actively mobile,,herbivore
786384,occ,84836,Captorhinidae indet.,family,37495,,Captorhinidae,,family,37495,Wuchiapingian,,259.9,254.17,Sues and Munk,1996,28485,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,,1,individuals,8.880278,51.261944,,Korbach Fissure,,"Fisseler quarry, Korbacher Spalte, Steinbruch Fisseler",DE,Hesse,Waldeck-Frankenberg,stated in text,seconds,outcrop,gp_mid,28.46,24.55,315,Werra,Zechstein,,group of beds,,"The fissure fill [...] opened in a tectonic lineament formed in oncoidal limestones of the Randkalk (A1Ca) of the lower Zechstein (Z1) [...] The fissure has been filled with dolomitic mudstone, which is reddish-purple in some areas but pale yellow in other places. The reddish deposits are fairly fine-grained whereas the yellowish deposits tend to be somewhat more coarse-grained and diagenetically indurated. [...] The yellowish mustone deposits are pockmarked by numerous solutional cavities, which are lined with calcite crystals. The mudstone fissure filling shows no obvious stratification. At a depth of about 5 m below the present-day top, we uncovered a layer of numerous angular blocks of limestone, which reach a diameter of up to 60 cm. These blocks, many of which are encrusted by iron an manganese oxides and are deeply reddened by subaerial weathering, represent the overlying Rosetten-Kalk. The Rosetten-Kalk was eroded away in the immediate vicinity of the quarry during the subsequent geological history of that area.""",mudstone,"fine,dolomitic,red",,,,mudstone,"medium,dolomitic,yellow",fissure fill,cratonic basin,macrofossils,"body,permineralized",variable,"""The vertebrate fossils comprise typically dissociated, fragmentary bones and teeth [...] Individual specimens frequently contain vivianite and thus appear dark blue when freshly exposed in the field. Many bones bear a thin coating of hematite. Preservation of individual bones is highly variable. Many are crushed and have been checkered by small-scale faulting, presumably due to early diagenetic compaction of the surrounding sediment as well as postdepositional faulting of the entire fissure-filling. The fragmentary state of preservation of most bones indicates postmortem disarticulation and transport before their introduction into the fissure.""",taxonomic,"chemical,mechanical,field collection",,all macrofossils,,,,,terrestrial,,actively mobile,ground dwelling,"insectivore, herbivore"
786668,occ,68054,n. gen. Bunostegos n. sp. akokanensis,species,136159,,Bunostegos akokanensis,,species,136159,Changhsingian,,254.17,252.17,Sidor et al.,2003,28493,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Bunostegos,1,individuals,7.197222,18.783333,MNN MOR72 (type),Ibadanane Area II,,Moradi Fauna,NE,Agadez,Arlit,stated in text,seconds,outcrop,gp_mid,13.12,-3.48,714,Moradi,Izégouandane,,member,,"""The [...] material was found eroding out of the surface of\r\na thin conglomeratic red sandstone. The heterogeneous clasts of\r\nthe sandstone matrix are composed of silicified and indurated\r\nclay pebbles."" (Steyer et al., 2006)",mudstone,"brown,red",,,,sandstone,"intraclastic,red","""floodplain""",cratonic basin,macrofossils,body,,,taxonomic,"surface (in situ),mechanical,field collection",,,,,"C. Sidor, A. Maga, O. Ide, and others","2000, 2003, 2006",terrestrial,,actively mobile,,herbivore
786798,occ,77412,n. gen. Rhiodenticulatus n. sp. heatoni,species,135851,,Rhiodenticulatus heatoni,,species,135851,Virgilian,Wolfcamp,303.4,268,Berman and Reisz,1986,28464,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,Rhiodenticulatus,2,individuals,-106.639442,36.157223,"UCMP 35757 (type), 40209, 40210",UCMP V-2814,,Camp Quarry,US,New Mexico,Rio Arriba,stated in text,seconds,outcrop,gp_mid,-34.09,4.48,101,Abo/Cutler,,,group of beds,,"""soft brick-red clayey siltstone"" (Langston, 1965 p. 6; 1966 p.691; Langston & Reisz, 1981 p. 74)",siltstone,red,,argillaceous,Y,,,terrestrial indet.,,macrofossils,body,variable,,general faunal/floral,"bulk,surface (float),survey of museum collection",UCMP,all macrofossils,,,"C. L. Camp, among others","1928, 1934, 1935",terrestrial,,actively mobile,ground dwelling,"insectivore, herbivore"
786799,occ,79602,Dimetrodon sp.,genus,38904,,Dimetrodon,,genus,38904,Kungurian,,279.3,272.3,Stovall,1950,28374,Chordata,Osteichthyes,Cotylosauria,Sphenacodontidae,Dimetrodon,1,individuals,-97.583336,35.950001,,1.5 miles northeast of Crescent,,,US,Oklahoma,Logan,based on nearby landmark,minutes,small collection,gp_mid,-26.67,2.98,101,Hennessey,,,bed,,,"""siliciclastic""",hematitic,,,,,,terrestrial indet.,foreland basin,macrofossils,body,good,,taxonomic,"surface (in situ),mechanical,field collection",,,,,Stovall,1939,terrestrial,,actively mobile,,
786831,occ,84914,Captorhinus sp.,genus,37497,,Captorhinus,,genus,37497,Wuchiapingian,,259.9,254.17,Gow,2000,28504,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,Captorhinus,1,individuals,33.166668,-10.833333,"BP/1/3899; informally referred to as ""Captorhinus zambiensis"" in the primary reference; originally identified as a procolophonid (Kitching, 1963)",Upper Luangwa Valley (Cistecephalus Zone fauna),,,ZM,Eastern,Lundazi,estimated from map,minutes,hand sample,gp_mid,13.31,-44.62,701,Madumabisa Mudstone,Beaufort,,formation,Cistecephalus Assemblage,,mudstone,hematitic,,,,,,terrestrial indet.,rift,macrofossils,cast,,"""encased in a very hard and brittle haematitic matrix""",taxonomic,survey of museum collection,,,,,J. W. Kitching,"1960, 1961",terrestrial,,actively mobile,ground dwelling,"insectivore, herbivore"
786835,occ,79815,Labidosaurus n. sp. oklahomensis,species,135366,subjective synonym of,Captorhinus laticeps,,species,120324,Leonard,,290.1,268,Heaton,1979,28362,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,Captorhinus,1,individuals,-97.417778,36.738609,OUSM 15022 (formerly 3-1-S7) (type),McCann Quarry,,"""McCaren quarry""; Nardin site, Eddy site, OMNH locality V128",US,Oklahoma,Kay,stated in text,seconds,outcrop,gp_mid,-27.2,1.6,101,Wellington,Sumner,McCann Sandstone,member,,,sandstone,"""cross stratification"",coarse,red or brown",,,Y,sandstone,"planar lamination,gray,yellow",fluvial-deltaic indet.,foreland basin,macrofossils,body,variable,"""Vertebrate remains occur in all phases of the sandstone, mostly as small fragments.""",taxonomic,"field collection,survey of museum collection,observed (not collected)",,,,,,,terrestrial,,actively mobile,ground dwelling,"insectivore, herbivore"
786931,occ,84941,Dictybolos tener,species,119139,,Dictybolos tener,,species,119139,Leonard,,290.1,268,Olson,1970,26635,Chordata,Reptilia,Araeosceloidea,NO_FAMILY_SPECIFIED,Dictybolos,131,specimens,-97.433334,36.349998,FMNH UR 1042-1173,"Perry site 6, beds 18+19",,,US,Oklahoma,Noble,estimated from map,minutes,,gp_mid,-27.41,1.27,101,Wellington,Sumner,,group of beds,,"""[...] red sandstone, bed 19 of the section. [...] small lenses that lie just under the red sandstone, in bed 18 of the section. These lenses [...] run from two to five feet in diameter, and are roughly ovoid in shape. The rock is a heterogeneous mixture of sandy shale, shale, sandstone, and masses of mud which are rich in organic remains. [...] The bed below the sandstone, of which these lenses make up the topmost part, is predominantly a dark, red to brown, sandy shale. In its upper part it also carries some lenses of very fine, chocolate colored sandy shale, with very fine sand and some mica.""",sandstone,red,,,Y,"""shale""","lenticular,red or brown",lacustrine indet.,foreland basin,macrofossils,body,variable,"""The best preserved occur in the red sandstone, bed 19 of the section. In this bed, however, they are widely scattered. The condition of these bones is excellent; they are essentially unmineralized and uncrushed. Although some moderate concentrations occur in sandstone, there is no evidence that the clustering has any relationship to life associations. [...] By far the greatest concentration of bones occurs in small lenses that lie just under the red sandstone, in bed 18 of the section. [...] Some of these lenses have high concentrations of bones, with the new reptile predominant but with remains of other reptiles, some amphibians, and fish, making up as much as 5 per cent of the total. The matrix appears to have been highly compressible and the con-tained vertebrate remains are always severely crushed. These pockets are much the most prolific source of bones, but the crushing has limited their morphological value.""",taxonomic,field collection,,,,,E. C. Olson,,terrestrial,,actively mobile,,
786933,occ,79601,Trimerorhachis n. sp. rogersi,species,136359,,Trimerorhachis rogersi,,species,136359,Leonard,,290.1,268,Olson,1955,28508,Chordata,Osteichthyes,Temnospondyli,Trimerorhachidae,Trimerorhachis,13,specimens,-99.558334,33.816666,"FMNH UR 70-76, 133, 135-137, 138 (type), 141",Locality FA - Pipe Site,,,US,Texas,Foard,estimated from map,seconds,outcrop,gp_mid,-30.21,0,101,Choza,Clear Fork,,,,"""The deposits at the 'pipe site' are extremely interesting and unlike those encountered anywhere else in the Wichita or Clear Fork sections. The bed from which the fossils come is a deep red shale, exposed on a series of hills over an area about an eighth of a mile on each side. This bed is capped in many places by a thin, dense siltstone. Overlying the siltstone is an orange-red shale that carries gypsum biscuits. Underlying the producing layer, which averages about four feet in thickness, is a brownish-red shale that is devoid\r\nof fossils. The most distinctive feature of the bone-bearing shale, outside of the fact that it has fossils, is the occurrence of two types of vertically oriented ovoid structures. One type consists of mottled red and green, hard nodules that range from one to four inches in maximum diameter and up to eighteen inches in length. They are rich in vertebrate remains. They appear to have formed around the bones after deposition, presumably as a result of the reducing action of organic materials. Their vertical orientation is somewhat\r\npuzzling. The contained vertebrate remains are usually oriented with their long axes vertical, and it seems quite certain that this position was attained after the formation of the nodules. Specimens of vertebrates free in the shale rather than in nodules are orientated with their long axes horizontal and have been subjected to considerable distortion and breakage. The most reasonable suggestion seems to be that the vertical orientation of the nodules was developed during compaction of the shales, which has been extensive, with the long axes shifting to become normal to the compacting forces.\r\nThe other vertical structures [...] have been termed pipes and have given the name to the site. They pass from the base to the top of the fossiliferous bed and, at the top, are continuous with the siltstone layer that caps the bed. Their composition is similar to the capping siltstone. The pipes are oval in cross section with maximum diameters from about four to twelve inches. Orientation of the long diameters is random, even in the 'clumps' in which the pipes tend to occur. These structures do not contain vertebrates, although specimens are found 'plastered' to their sides and occasionally penetrating the pipe for a short distance.\r\nThe origin of the pipes is by no means certain. It is thought that they were formed in open holes by the introduction of the sediment that formed the siltstone layer. Superficially, they resemble lungfish burrows of the Arroyo and Vale (Romer and Olson, 1954), but the shape, size, composition, weathering, and fossil content differ. The most probable explanation is that these openings were formed by the root-like shafts of some type of plant, possibly some\r\nEquisetales, that rotted to leave openings that were later filled by sediment. There is no question that the red shales surrounding the pipes were deposited in a shallow pond, and such a pond might well have provided suitable habitat for the type of vegetation envisaged."" (Olson, 1955 pp. 60-63)","""shale""",red or brown,,,Y,,,pond,foreland basin,macrofossils,"body,concretion",variable,,taxonomic,,,,,,E. C. Olson,1949,"brackish,freshwater,terrestrial",,actively mobile,amphibious,carnivore
786936,occ,27704,Trimerorhachis cf. insignis,species,90711,,Trimerorhachis insignis,,species,90711,Kungurian,,279.3,272.3,Olson,1955,28508,Chordata,Osteichthyes,Temnospondyli,Trimerorhachidae,Trimerorhachis,13,specimens,-99.557777,33.731667,"FMNH UR 40, 42, 44-48, 50, 52, 55, 62, 64, 67",Locality KF (Middle Vale Formation),,"three-channel hill, ""fish quarry""",US,Texas,Knox,estimated from map,seconds,small collection,gp_mid,-29.19,1.89,101,Vale,Clear Fork,,member,,"""The channel fill is largely clay pebble conglomerate, with pebbles ranging from a few millimeters to about 8 cm. in diameter. Rounding of the pebbles is uniformly high, but sphericity is varied. [...] The coarsest material tend to lie at the center of the channel, whereas the marginal parts are predominantly sand or clay with fine scattered pebbles."" Olson (1948, p. 191);\r\nspecimen ""was preserved in a nodule that had weathered from a conglomeratic deposit of channel origin."" (Olson, 1951 p. 89) other specimens are from a quarry in fine-grained, green channel deposits",conglomerate,"pebbly,green,red",,,Y,"""siliciclastic""","fine,green","""channel""",foreland basin,macrofossils,"body,concretion",variable,"""Fragmentation of the specimens occurred before and during deposition, probably as the materials were transported by the waters of the streams. This group of animals cannot be considered to represent a life assemblage."" (Olson, 1955 p. 258)",taxonomic,field collection,FMNH,,,,E. C. Olson,1946-1948,"brackish,freshwater,terrestrial",,actively mobile,amphibious,carnivore
787181,occ,84940,n. gen. Casineria n. sp. kiddi,species,136422,,Casineria kiddi,,species,136422,Asbian,,339.4,336,Paton et al.,1999,28517,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Casineria,1,individuals,-2.827778,56.03611,NMS G1993.54.1 (type),Cheese Bay Shrimp Bed,,,UK,Scotland,East Lothian,estimated from map,seconds,outcrop,gp_mid,-8.43,-27.1,313,Gullane,Strathclyde,,bed,,,dolomite,planar lamination,,,,lime mudstone,planar lamination,carbonate indet.,,macrofossils,body,,,taxonomic,,,,,,,,"brackish,freshwater,terrestrial",,actively mobile,,
787182,occ,77412,n. gen. Oedaleops n. sp. campi,species,122198,,Oedaleops campi,,species,122198,Virgilian,Wolfcamp,303.4,268,Langston,1965,30116,Chordata,Osteichthyes,Cotylosauria,Eothyrididae,Oedaleops,4,individuals,-106.639442,36.157223,"UCMP 35758 (type), 40095 (part)*, 40281, 67222-67224, 67225*; numbers marked by asterisks are represented by two incomplete maxillae and ""several isolated dentary bones prepared in shallow relief in large blocks of rock containing other specimens""; minimum number of individuals is estimated from presence of 2 skulls and 5 additional maxillae",UCMP V-2814,,Camp Quarry,US,New Mexico,Rio Arriba,stated in text,seconds,outcrop,gp_mid,-34.09,4.48,101,Abo/Cutler,,,group of beds,,"""soft brick-red clayey siltstone"" (Langston, 1965 p. 6; 1966 p.691; Langston & Reisz, 1981 p. 74)",siltstone,red,,argillaceous,Y,,,terrestrial indet.,,macrofossils,body,variable,,general faunal/floral,"bulk,surface (float),survey of museum collection",UCMP,all macrofossils,,,"C. L. Camp, among others","1928, 1934, 1935",terrestrial,,actively mobile,,
787183,occ,77412,Aerosaurus n. sp. wellesi,species,122318,,Aerosaurus wellesi,,species,122318,Virgilian,Wolfcamp,303.4,268,Langston and Reisz,1981,28910,Chordata,Osteichthyes,Cotylosauria,Varanopidae,Aerosaurus,3,individuals,-106.639442,36.157223,"UCMP 35762, 40094, 40095 (part; see comments on O. campi), 40096 (type), 40097, 40098 ",UCMP V-2814,,Camp Quarry,US,New Mexico,Rio Arriba,stated in text,seconds,outcrop,gp_mid,-34.09,4.48,101,Abo/Cutler,,,group of beds,,"""soft brick-red clayey siltstone"" (Langston, 1965 p. 6; 1966 p.691; Langston & Reisz, 1981 p. 74)",siltstone,red,,argillaceous,Y,,,terrestrial indet.,,macrofossils,body,variable,,general faunal/floral,"bulk,surface (float),survey of museum collection",UCMP,all macrofossils,,,"C. L. Camp, among others","1928, 1934, 1935",terrestrial,,actively mobile,,
